name	midi	time	velocity	duration
D#6	87	14.2578125	0.409448819	0.046875
C#5	73	14.3546875	0.661417323	0.08125
D#6	87	14.471875	0.385826772	0.059375
D#5	75	14.56875	0.614173228	0.0578125
B4	71	14.5890625	0.291338583	0.0640625
G#4	68	14.5953125	0.196850394	0.0578125
D#6	87	14.6875	0.37007874	0.0625
G#5	80	14.78828125	0.464566929	0.03671875
B5	83	14.9	0.692913386	0.0296875
D#6	87	15.0171875	0.551181102	0.0875
D#7	99	15.1296875	0.535433071	0.028125
D#5	75	15.2875	0.503937008	0.0625
C#5	73	15.2984375	0.212598425	0.0625
D#4	63	15.321875	0.212598425	0.0859375
G4	67	15.3484375	0.102362205	0.0703125
D#6	87	15.4015625	0.31496063	0.046875
G5	79	15.5171875	0.409448819	0.046875
A#5	82	15.6203125	0.393700787	0.0375
D#6	87	15.7421875	0.377952756	0.0609375
D#7	99	15.8703125	0.362204724	0.0671875
G#3	56	15.9765625	0.322834646	0.109375
D#4	63	16.103125	0.307086614	0.0578125
B4	71	16.2328125	0.433070866	0.0390625
G#5	80	16.365625	0.488188976	0.0546875
D#5	75	16.490625	0.511811024	0.0421875
D#6	87	16.5984375	0.417322835	0.0390625
D#7	99	16.7375	0.456692913	0.04375
D#6	87	16.859375	0.42519685	0.05
D#7	99	16.971875	0.440944882	0.0390625
D#6	87	17.090625	0.433070866	0.0671875
D#7	99	17.24375	0.307086614	0.0390625
C#6	85	17.35	0.448818898	0.04375
C#6	85	17.5140625	0.393700787	0.03671875
B5	83	17.546875	0.748031496	0.03125
G#2	44	17.5484375	0.283464567	0.065625
D#7	99	17.6796875	0.543307087	0.0265625
B5	83	17.7953125	0.669291339	0.0296875
B3	59	17.815625	0.236220472	0.0921875
D#3	51	17.8171875	0.204724409	0.128125
D#7	99	17.903125	0.614173228	0.0265625
A#5	82	18.0234375	0.551181102	0.0359375
D#7	99	18.128125	0.503937008	0.0296875
A#5	82	18.2515625	0.472440945	0.034375
G#5	80	18.259375	0.598425197	0.0734375
B2	47	18.2703125	0.267716535	0.0453125
D#7	99	18.390625	0.566929134	0.0265625
G5	79	18.509375	0.559055118	0.0328125
D#4	63	18.5171875	0.354330709	0.06875
G#3	56	18.528125	0.251968504	0.0546875
D#7	99	18.61640625	0.511811024	0.03203125
G#5	80	18.721875	0.614173228	0.0359375
D#7	99	18.840625	0.393700787	0.0359375
G5	79	18.9296875	0.614173228	0.0546875
G#5	80	18.984375	0.472440945	0.0859375
D#3	51	18.990625	0.31496063	0.0703125
A#5	82	19.0265625	0.543307087	0.065625
D#7	99	19.159375	0.57480315	0.0265625
A#3	58	19.28125	0.102362205	0.0703125
G4	67	19.28515625	0.228346457	0.06953125
D#5	75	19.303125	0.362204724	0.04375
D#7	99	19.4390625	0.669291339	0.0265625
D#5	75	19.5171875	0.598425197	0.0453125
D#6	87	19.603125	0.519685039	0.0390625
A#4	70	19.6875	0.377952756	0.0578125
F#5	78	19.690625	0.598425197	0.0375
E5	76	19.7046875	0.590551181	0.040625
G4	67	19.709375	0.401574803	0.0421875
D#6	87	19.81875	0.488188976	0.0359375
D#5	75	19.915625	0.551181102	0.05
A#4	70	19.9265625	0.377952756	0.05625
G4	67	19.934375	0.275590551	0.0640625
D#6	87	20.0234375	0.456692913	0.0390625
C#5	73	20.115625	0.598425197	0.046875
D#6	87	20.209375	0.527559055	0.0296875
C#5	73	20.3171875	0.590551181	0.0328125
B4	71	20.321875	0.68503937	0.0390625
G#4	68	20.340625	0.401574803	0.040625
D#6	87	20.4484375	0.511811024	0.0296875
B4	71	20.5390625	0.606299213	0.0328125
G#4	68	20.553125	0.346456693	0.0453125
D#6	87	20.640625	0.590551181	0.0265625
A#4	70	20.7328125	0.543307087	0.0375
D#6	87	20.828125	0.566929134	0.0265625
G#4	68	20.9390625	0.653543307	0.08125
A#4	70	20.94375	0.417322835	0.0375
F4	65	20.9625	0.236220472	0.0484375
D4	62	20.98125	0.133858268	0.0546875
B3	59	20.98359375	0.125984252	0.06015625
D#6	87	21.0703125	0.496062992	0.03125
G4	67	21.1671875	0.614173228	0.0328125
F4	65	21.16875	0.275590551	0.04375
D4	62	21.1796875	0.346456693	0.040625
B3	59	21.2	0.322834646	0.0421875
D#6	87	21.2765625	0.511811024	0.0296875
C#6	85	21.315625	0.125984252	0.046875
G#4	68	21.3703125	0.598425197	0.0375
D#6	87	21.4859375	0.653543307	0.0328125
D#3	51	21.5109375	0.417322835	0.065625
A#4	70	21.621875	0.519685039	0.046875
G4	67	21.64375	0.37007874	0.140625
D#6	87	21.7546875	0.42519685	0.0328125
D#4	63	21.86875	0.464566929	0.0421875
D#5	75	21.9796875	0.322834646	0.0453125
D#5	75	22.096875	0.417322835	0.0515625
D#6	87	22.203125	0.433070866	0.0359375
D#6	87	22.328125	0.519685039	0.0828125
D#7	99	22.44453125	0.488188976	0.03203125
D#6	87	22.54375	0.614173228	0.0578125
D#7	99	22.6484375	0.527559055	0.03125
C#6	85	22.7390625	0.68503937	0.059375
D#7	99	22.8484375	0.535433071	0.028125
C#6	85	22.953125	0.653543307	0.0296875
B5	83	22.971875	0.748031496	0.0328125
G#2	44	22.9734375	0.307086614	0.053125
D#7	99	23.0921875	0.551181102	0.0265625
D#3	51	23.19375	0.267716535	0.0671875
B3	59	23.19609375	0.228346457	0.0671875
B5	83	23.19609375	0.68503937	0.02890625
D#7	99	23.303125	0.440944882	0.03125
A#5	82	23.396875	0.488188976	0.034375
D#7	99	23.49375	0.551181102	0.028125
A#5	82	23.609375	0.566929134	0.03125
G#5	80	23.6140625	0.661417323	0.0703125
B2	47	23.6296875	0.346456693	0.0390625
D#7	99	23.7515625	0.511811024	0.0296875
G5	79	23.8546875	0.677165354	0.028125
D#4	63	23.8609375	0.385826772	0.0484375
G#3	56	23.8703125	0.291338583	0.05
D#7	99	23.965625	0.614173228	0.025
G#5	80	24.0609375	0.598425197	0.028125
D#7	99	24.1640625	0.582677165	0.025
G5	79	24.259375	0.622047244	0.0453125
G#5	80	24.3078125	0.527559055	0.08125
D#3	51	24.3296875	0.220472441	0.059375
A#5	82	24.36875	0.57480315	0.0296875
D#7	99	24.4875	0.566929134	0.0265625
G4	67	24.6078125	0.25984252	0.0671875
A#3	58	24.6140625	0.149606299	0.078125
D#5	75	24.628125	0.433070866	0.0375
D#7	99	24.771875	0.125984252	0.046875
D#5	75	24.8671875	0.598425197	0.06875
D#6	87	24.9640625	0.393700787	0.0390625
A#4	70	25.0578125	0.338582677	0.0484375
F#5	78	25.059375	0.511811024	0.03125
G#4	68	25.065625	0.362204724	0.040625
C#4	61	25.06875	0.346456693	0.0578125
E5	76	25.0734375	0.472440945	0.0328125
G#6	92	25.1953125	0.244094488	0.059375
A#4	70	25.26875	0.362204724	0.046875
D#5	75	25.27109375	0.606299213	0.03359375
G#4	68	25.2765625	0.283464567	0.0484375
D#4	63	25.2921875	0.275590551	0.0453125
G#6	92	25.384375	0.488188976	0.034375
A#4	70	25.478125	0.362204724	0.0484375
C#5	73	25.48125	0.551181102	0.034375
G#4	68	25.4984375	0.181102362	0.059375
E4	64	25.509375	0.244094488	0.04375
G#6	92	25.6015625	0.527559055	0.0328125
D#5	75	25.7203125	0.559055118	0.0984375
B4	71	25.7265625	0.338582677	0.1234375
G#4	68	25.7328125	0.204724409	0.1640625
D#4	63	25.75	0.181102362	0.0765625
D#6	87	25.8390625	0.37007874	0.1015625
G#5	80	25.93125	0.503937008	0.046875
B5	83	26.0390625	0.771653543	0.025
D#6	87	26.15	0.62992126	0.0890625
D#7	99	26.2703125	0.519685039	0.03125
D#3	51	26.296875	0.283464567	0.1
C#4	61	26.3984375	0.377952756	0.05
D#5	75	26.4828125	0.377952756	0.0765625
G4	67	26.5109375	0.291338583	0.0796875
D#6	87	26.59296875	0.299212598	0.05078125
G5	79	26.7046875	0.385826772	0.046875
A#5	82	26.8046875	0.409448819	0.034375
D#6	87	26.940625	0.37007874	0.0609375
D#7	99	27.0625	0.409448819	0.040625
G#2	44	27.1578125	0.338582677	0.0546875
B3	59	27.3046875	0.212598425	0.05
D#4	63	27.4296875	0.480314961	0.053125
G#4	68	27.5640625	0.338582677	0.0421875
D#5	75	27.69375	0.330708661	0.04375
G#5	80	27.8265625	0.330708661	0.05
B5	83	27.984375	0.409448819	0.046875
D#6	87	28.128125	0.291338583	0.0578125
G#6	92	28.3421875	0.377952756	0.0421875
B4	71	29.421875	0.393700787	0.05
A#4	70	29.5703125	0.448818898	0.0734375
G4	67	29.575	0.464566929	0.0375
B4	71	29.7140625	0.62992126	0.05
F#4	66	29.828125	0.472440945	0.05
A4	69	29.83046875	0.456692913	0.03828125
B4	71	29.95	0.653543307	0.0734375
G#4	68	30.0578125	0.511811024	0.059375
F4	65	30.06875	0.393700787	0.0375
B4	71	30.2	0.669291339	0.0484375
G4	67	30.321875	0.598425197	0.046875
E4	64	30.3265625	0.590551181	0.03125
C#5	73	30.540625	0.511811024	0.078125
B4	71	30.5703125	0.653543307	0.05625
A#4	70	30.63125	0.409448819	0.040625
B4	71	30.684375	0.511811024	0.0578125
F#4	66	30.7421875	0.519685039	0.03125
D#4	63	30.7625	0.488188976	0.0390625
B3	59	30.771875	0.322834646	0.040625
F#6	90	30.88125	0.566929134	0.03125
F#4	66	31.0203125	0.362204724	0.05625
B4	71	31.025	0.57480315	0.0328125
F#3	54	31.0328125	0.362204724	0.0625
D#4	63	31.0375	0.338582677	0.04375
F#6	90	31.1671875	0.62992126	0.028125
D#5	75	31.328125	0.57480315	0.0578125
C#5	73	31.3734375	0.42519685	0.04375
C5	72	31.4328125	0.440944882	0.0640625
C#5	73	31.4828125	0.385826772	0.0953125
F#4	66	31.5375	0.535433071	0.03125
E4	64	31.553125	0.464566929	0.034375
A#3	58	31.55546875	0.291338583	0.05234375
F#6	90	31.6625	0.62992126	0.03125
C#5	73	31.78125	0.614173228	0.040625
F#4	66	31.7875	0.480314961	0.034375
F#3	54	31.790625	0.433070866	0.04375
E4	64	31.809375	0.236220472	0.046875
F#6	90	31.8984375	0.645669291	0.025
E5	76	32.040625	0.582677165	0.0671875
D#5	75	32.090625	0.511811024	0.071875
D5	74	32.14375	0.519685039	0.0671875
D#5	75	32.21328125	0.511811024	0.09296875
F#4	66	32.2859375	0.188976378	0.115625
D#4	63	32.30859375	0.251968504	0.10078125
B4	71	32.3125	0.535433071	0.034375
B3	59	32.3265625	0.133858268	0.0609375
F#6	90	32.5109375	0.393700787	0.0390625
D#5	75	32.709375	0.598425197	0.028125
B4	71	32.8515625	0.598425197	0.03203125
D5	74	32.8515625	0.622047244	0.0296875
D#5	75	32.9828125	0.645669291	0.0328125
A#4	70	33.0875	0.488188976	0.0390625
C#5	73	33.090625	0.519685039	0.0390625
D#5	75	33.2171875	0.692913386	0.0578125
A4	69	33.3328125	0.488188976	0.0375
C5	72	33.3328125	0.582677165	0.0390625
D#5	75	33.4484375	0.692913386	0.028125
G#4	68	33.5640625	0.527559055	0.03125
B4	71	33.565625	0.677165354	0.0296875
F5	77	33.7140625	0.669291339	0.078125
D#5	75	33.765625	0.551181102	0.0484375
D5	74	33.8328125	0.401574803	0.040625
